Dates,Melbourne,Bayside,Eastern Melbourne,Inner East Melbourne,Melbourne City,Melbourne North,North West Melbourne,South East Melbourne,South West Melbourne,Western Melbourne
1/01/2009,3.45,3.34,2.54,3.63,3.14,2.83,2.48,3.03,4.78,4.1
1/02/2009,3.28,3.35,2.5,3.25,3.01,2.67,2.5,3.05,4.3,3.91
1/03/2009,3.25,3.08,2.41,3.17,2.74,2.46,2.87,3.25,4.84,4.27
1/04/2009,3.09,2.7,2.25,3.07,2.53,2.3,2.68,3.02,5.02,4.41
1/05/2009,3.34,2.93,2.23,3.37,2.95,2.49,2.8,3.17,5.42,4.66
1/06/2009,3.06,2.67,2.07,3.1,2.89,2.41,2.3,2.56,4.86,4.22
1/07/2009,3.15,2.66,2.12,2.74,2.98,2.61,2.6,2.61,5.46,4.82
1/08/2009,3.51,3.12,2.37,3.17,3.82,2.78,2.86,2.77,5.45,4.9
1/09/2009,2.87,2.5,1.94,2.51,3.2,2.27,2.47,2.11,4.49,4.16
1/10/2009,2.23,1.89,1.51,1.86,2.57,1.77,2.08,1.46,3.54,3.42
1/11/2009,2.3,2.06,1.36,2.11,2.79,1.79,2.16,1.62,3.16,3.24
1/12/2009,2.91,2.63,2.02,2.73,3.52,2.32,2.81,1.88,3.61,3.77
1/01/2010,2.44,2.29,1.74,2.61,3.51,2.06,2.64,1.47,3.44,3.58
1/02/2010,2.37,2.19,1.72,2.49,3.31,2.02,2.52,1.37,3.46,3.6
1/03/2010,2.13,2.01,1.65,2.19,2.68,1.86,2.39,1.47,3.17,3.31
1/04/2010,1.96,1.85,1.34,2.17,2.76,1.79,2.48,0.57,2.74,2.65
1/05/2010,1.5,1.46,1,1.66,2.06,1.37,1.88,0.54,2.12,1.87
1/06/2010,2.35,2.27,1.63,2.35,2.99,2.21,2.64,1.61,3.49,3.42
1/07/2010,2.47,2.36,1.64,2.23,3.19,2.39,2.97,1.73,4.03,3.7
1/08/2010,2.01,2.15,1.36,1.84,2.08,2.01,2.6,1.67,3,3.03
1/09/2010,2.11,2.35,1.6,1.89,2.19,2.06,2.89,1.73,2.94,3.08
1/10/2010,2.46,2.51,1.66,2.17,2.96,2.49,3.21,1.8,3.71,3.75
1/11/2010,2.69,2.76,1.89,2.34,3.56,2.65,3.25,2.01,3.83,3.96
1/12/2010,3.38,3.27,2.49,3.16,4.72,3.28,3.5,2.51,4.45,4.7
1/01/2011,2.92,2.79,2.16,2.65,3.98,2.83,3.26,2.29,4.13,4.48
1/02/2011,2.6,2.51,1.96,2.36,3.04,2.48,3.04,2.2,4.3,4.32
1/03/2011,2.27,2.19,1.59,2.01,2.36,2.24,2.94,2.1,3.94,4.03
1/04/2011,2.47,2.48,1.87,2.16,2.61,2.4,2.87,2.17,4.54,4.29
1/05/2011,2.25,2.22,1.51,2.01,2.41,2.23,2.5,2,4.23,3.87
1/06/2011,2.6,2.67,2,2.4,2.57,2.57,2.9,2.27,4.81,4.27
1/07/2011,2.63,2.7,1.88,2.35,2.56,2.59,3.12,2.37,4.94,4.52
1/08/2011,2.61,2.56,1.82,2.27,2.68,2.61,3.14,2.26,4.99,4.55
1/09/2011,2.78,2.7,1.97,2.51,2.95,2.79,3.16,2.45,4.95,4.44
1/10/2011,2.77,2.61,1.96,2.53,2.84,2.73,3.24,2.65,4.82,4.53
1/11/2011,3.11,2.92,2.19,3.05,3.67,2.97,3.4,2.65,4.88,4.71
